id,name,lat,lng,yelpstars,lastrating,rats,roaches,slime,fail,cuisine,weight
912017,"THE JUNIOR LEAGUE OF HOU.",29.7488,-95.4505,5,1,1,1,1,0,"LOCAL / CONTINENTAL",999
912022,"PAUL REVERE MIDDLE SCHOOL",29.7474,-95.5612,5,1,1,1,1,1,,999
912025,"LA PETITE",29.7475,-95.5868,5,1,1,1,1,1,,999
912035,YMCPA,29.7769,-95.3345,5,1,1,1,1,0,,999
912040,"DURHAM ELEMENTARY",29.8359,-95.4169,5,1,1,1,1,1,,999
912042,"CODWELL ELEMENTARY",29.6384,-95.362,5,1,1,1,1,1,,999
912046,"QUALITY FOOD",29.8012,-95.5695,5,1,1,1,1,1,,999
912051,"HARRIS ELEMENTARY, JR.",29.7188,-95.277,5,1,1,1,1,1,,999
912059,"SELLERS BROTHERS GROCERY",29.7093,-95.2786,5,1,1,1,1,1,,999
912062,"DEADY MIDDLE SCHOOL",29.7044,-95.2787,5,1,1,1,1,1,,999
912097,"J&R FISH MARKET",29.7034,-95.4229,5,1,1,1,1,1,,999
912104,"ALEXANDER ELEMENTARY SCHOOL",29.6872,-95.6079,5,1,1,1,1,0,,999
912105,"4R A-CAT-A-ME",29.6958,-95.3373,5,5,1,1,1,0,,999
912115,"ST. VINCENT CATHOLIC CHURCH SCHOOL",29.7054,-95.4275,5,1,1,1,1,1,,999
912137,"JEWEL'S LEARNING CENTER",29.7008,-95.3666,5,1,1,1,1,1,,999
912148,"WONDERLAND PRIVATE SCHOOL",29.7027,-95.3449,5,1,1,1,1,1,,999
912156,"ST PAUL'S SCHOOL",29.7272,-95.3884,5,1,1,1,1,1,,999
912169,"SPRING BRANCH ELEMENTARY SCHOOL",29.8016,-95.5159,5,1,1,1,1,1,,999
912175,"AMERICAN LEGION",29.8208,-95.5277,5,1,1,1,1,1,,999
912195,"BENTKE'S DRIVE-IN",29.7496,-95.3327,5,1,1,1,1,1,"LOCAL / CONTINENTAL",999
912209,"BURNETT ELEMENTARY",29.7461,-95.3186,5,1,1,1,1,1,,999
912222,"FRANKLIN ELEMENTARY",29.7391,-95.2975,5,1,1,1,1,1,,999
912223,"LA CASITA",29.7385,-95.2975,5,1,1,1,1,1,,999
912232,"SHEW'S FOOD MARKET",29.7357,-95.2888,5,1,1,1,1,1,,999
912253,"TAQUERIA DE BUEY Y VACA",29.7335,-95.3008,5,1,1,1,1,1,,999
912257,"SMALL WONDER DAY CARE CENTER",29.629,-95.4984,5,1,1,1,1,1,,999
912258,"FONDREN ELEMENTARY SCHOOL",29.6282,-95.4991,5,2,1,1,1,1,,999
912261,"HOUSTON CENTER",29.7543,-95.3632,5,2,1,1,1,1,,999
912267,"NEFF EARLY LEARNING CENTER",29.6968,-95.5293,5,1,1,1,1,1,,999
912268,"CHAMBERS ELEMENTARY SCHOOL",29.6977,-95.5664,5,1,1,1,1,1,,999
912271,"THOMPSON ELEMENTARY",29.9222,-95.4016,5,1,1,1,1,1,,999
912313,"WOODVIEW ELEMENTARY SCHOOL",29.7905,-95.533,5,1,1,1,1,1,,999
912314,"ST. STEPHEN CATHOLIC CHURCH",29.7688,-95.3776,5,1,1,1,1,1,"LOCAL / CONTINENTAL",999
912319,"LEE CAFE",29.6735,-95.5515,5,1,1,1,1,1,,999
912321,"BETTY BEST ELEMENTARY SCHOOL",29.6719,-95.552,5,1,1,1,1,1,,999
912323,"BLACK MIDDLE",29.8295,-95.4398,5,1,1,1,1,0,,999
912327,"TOMMY'S FOOD MARKET",29.7822,-95.3538,5,1,1,1,1,1,,999
912348,IRMA'S,29.7602,-95.352,5,1,1,1,1,1,,999
912350,"BLUERIDGE BAPTIST CHURCH",29.651,-95.3727,5,1,1,1,1,1,"LOCAL / CONTINENTAL",999
912358,"WHATABURGER #263",29.7362,-95.4766,5,1,1,1,1,1,"BURGERS, ETC.",999
912361,"CHIMNEY ROCK SHELL @ RICHMOND",29.7311,-95.4765,5,1,1,1,1,1,OTHER,999
912369,"THE VILLAGE STORE",29.7213,-95.4768,5,1,1,1,1,1,,999
912383,"MATAMOROS MEAT MARKET",29.7096,-95.4759,5,1,1,1,1,1,,999
912390,"PILGRIM LUTHERAN SCHOOL",29.6877,-95.4757,5,1,1,1,1,1,,999
912402,"WILLOWRIDGE HIGH SCHOOL",29.5858,-95.4825,5,1,1,1,1,1,,999
912404,"KATHERINE SMITH ELEMENTARY",29.8393,-95.4616,5,1,1,1,1,1,,999
912405,"CIMARRON ELEMENTARY",29.7811,-95.1915,5,1,1,1,1,1,,999
912421,"CLAREWOOD HOUSE",29.7106,-95.5146,5,2,1,1,1,0,,999
912424,"TAQUERIA MEXICO LINDO",29.71,-95.5188,5,2,1,1,1,1,,999
912427,"SAN ANTONIO BOTANICA Y YERBERIA",29.7097,-95.5198,5,1,1,1,1,1,,999
912429,"LA MICHOACANA  #2",29.7092,-95.5197,5,1,1,1,1,1,,999
912430,"LOS RANCHITOS",29.7094,-95.5209,5,1,1,1,1,1,"MEXICAN / HISPANIC",999
912451,"YOUNG WOMAN'S COLLEGE PREP ACADEMY",29.7311,-95.3742,5,1,1,1,1,1,,999
912480,"LAW ELEMENTARY",29.6273,-95.364,5,1,1,1,1,1,,999
912483,"REGAL COTTAGE OF SOUTHLAND ACRES",29.6763,-95.3502,5,1,1,1,1,1,,999
912510,"FLEMING MIDDLE SCHOOL",29.793,-95.3204,5,1,1,1,1,1,,999
912516,"SPAGHETTI WAREHOUSE",29.7644,-95.3601,5,1,1,1,1,0,ITALIAN,999
912521,"LA CARAFE",29.7631,-95.3618,5,1,1,1,1,1,,999
912527,"LOAVES & FISHES",29.7571,-95.3517,5,1,1,1,1,1,,999
912537,"ALIEF MIDDLE SCHOOL",29.7086,-95.5949,5,1,1,1,1,1,,999
912549,"DECHAUMES ELEMENTARY",29.8613,-95.3773,5,1,1,1,1,1,,999
912552,"SOUTHMAYD ELEM SCHOOL",29.7102,-95.2891,5,1,1,1,1,1,,999
912560,"SCARBOROUGH HIGH SCHOOL",29.8295,-95.4697,5,1,1,1,1,1,,999
912562,"PYBURN ELEMENTARY",29.7627,-95.2207,5,1,1,1,1,1,,999
912573,"SILVER SLIPPER",29.7967,-95.3329,5,1,1,1,1,1,,999
912583,"MEDICAL PLAZA PHARMACY",29.7451,-95.3663,5,1,1,1,1,1,,999
912589,"MADING ELEMENTARY",29.6596,-95.3274,5,1,1,1,1,1,,999
912590,"EL PARAISO",29.7483,-95.3899,5,3,1,1,1,0,"MEXICAN / HISPANIC",999
912597,"CROCKETT ELEMENTARY SCHOOL",29.7739,-95.3806,5,1,1,1,1,1,,999
912607,"MONTEREY'S TEX MEX CAFE #13",29.829,-95.3824,5,1,1,1,1,1,,999
912610,"TIMEWISE #701/SHELL",29.8282,-95.3817,5,1,1,1,1,1,,999
912620,"JACK IN THE BOX #634",29.8281,-95.3766,5,2,1,1,1,1,"BURGERS, ETC.",999
912621,"KENTUCKY FRIED CHICKEN #W150630",29.8286,-95.3767,5,1,1,1,1,1,CHICKEN,999
912656,"FLYING SAUCER PIE COMPANY",29.8283,-95.406,5,1,1,1,1,1,,999
912677,"RALSTON DRUGS & DISCOUNT LIQ. # 10",29.6902,-95.3535,5,1,1,1,1,1,,999
912683,"CULLEN DRIVE-IN",29.6843,-95.3557,5,3,1,1,1,1,,999
912686,"I.C. LACEY PRODUCE  #3Z8 373",29.6748,-95.3555,5,1,1,1,1,1,,999
912694,"RALSTON DISCOUNT LIQUOR",29.6672,-95.3559,5,1,1,1,1,1,,999
912706,"KFC #W150295",29.6575,-95.3551,5,1,1,1,1,1,CHICKEN,999
912719,"ABC 123 A-CAT-A-ME",29.6406,-95.3564,5,1,1,1,1,1,,999
912723,"L & T FISH MARKET",29.6357,-95.3561,5,3,1,1,1,1,SEAFOOD,999
912733,"BRADY'S LANDING",29.7245,-95.2759,5,1,1,1,1,1,"LOCAL / CONTINENTAL",999
912735,"ST FRANCIS OF ASSISI SCHOOL",29.8075,-95.3099,5,1,1,1,1,1,,999
912739,"TIA MARIA'S",29.8068,-95.4578,5,2,1,1,1,1,"MEXICAN / HISPANIC",999
912742,"VALERO CORNER STORE #903",29.8066,-95.4632,5,1,1,1,1,1,,999
912745,"CONOCO CTR CAFETERIA",29.7891,-95.6144,5,1,1,1,1,1,CAFETERIA,999
912777,"DAIRY ASHFORD ROLLER RINK",29.7478,-95.6061,5,1,1,1,1,1,PIZZA,999
912800,"DOUBLETREE HOTEL-TROFI REST.",29.758,-95.3712,5,1,1,1,1,1,"LOCAL / CONTINENTAL",999
912804,"HOUSTON DOWNTOWN CLUB",29.7526,-95.3704,5,3,1,1,1,0,"LOCAL / CONTINENTAL",999
912815,VINCENT'S,29.7572,-95.395,5,1,1,1,1,1,ITALIAN,999
912816,"NINO'S RESTURANT",29.7572,-95.3954,5,1,1,1,1,1,ITALIAN,999
