id,name,date,lat,lng,cuisine,status,score,site,weight,rats,bugs,slime,condemned
421646,"LA MONARCA MICHOACANA","2014-04-01 00:00:00",29.601,-95.2159,DESSERTS,PASS,1,KITCHEN,2,0,0,0,0
421647,"TAQUERIA LOS BEDOLLA - Garcia Bros.","2013-08-28 00:00:00",29.7213,-95.3203,,FAIL,3,"1910 DISMUKE",9,0,0,0,0
421649,"FONDREN FOOD STORE","2014-03-27 00:00:00",29.6561,-95.5074,,PASS,1,0,3,0,0,0,0
421650,"BOHEME CATERING KITCHEN","2014-02-03 00:00:00",29.7478,-95.3859,,PASS,1,0,1,0,0,0,0
421658,"EL ENCANTO","2014-04-02 00:00:00",29.747,-95.2999,,PASS,1,0,4,0,0,0,0
421659,"BROADWAY SHELL","2014-04-15 00:00:00",29.684,-95.2779,,PASS,1,"TOTAL ESTABLISHMENT",1,0,0,0,0
421663,"SHELL OIL COMPANY CAFE","2014-01-17 00:00:00",29.7873,-95.6045,CAFETERIA,PASS,1,0,1,0,0,0,0
421666,"ZIMMER'S  LIQUOR  STORE","2013-08-09 00:00:00",29.8224,-95.5235,,PASS,1,0,1,0,0,0,0
421669,"TIMERISE  MART","2014-04-15 00:00:00",29.6693,-95.3553,,PASS,3,"TOTAL ESTABLISHMENT",9,0,0,1,0
421670,"TAQUERIA TARIACURI # 7 - SouthWest","2014-01-15 00:00:00",29.719,-95.5195,,PASS,1,"5705 Fondren 77036 7d/w 7a-12a",2,0,0,0,0
421673,"JIMMY JOHNS","2014-04-04 00:00:00",29.7227,-95.3372,SANDWICHES,PASS,2,"TOTAL ESTABLISHMENT",6,0,0,0,0
421675,"PORCH SWING DESSERTS","2014-02-17 00:00:00",29.7597,-95.3663,DESSERTS,PASS,3,ESTABLISHMENT,10,0,0,0,0
421677,"GAMES GAMEROOM","2014-04-08 00:00:00",29.6925,-95.4925,,PASS,2,"Total Establishment",7,0,0,0,0
421678,"THE KIPLING SCHOOL","2014-02-05 00:00:00",29.7677,-95.4089,,PASS,1,ESTABLISHMENT,1,0,0,0,0
421682,"SAMI'S CONVENIENCE & GIFTS","2014-02-27 00:00:00",29.7318,-95.4347,DELI,FAIL,3,"TOTAL ESTABLISHMENT",11,0,0,0,0
421684,"LOUISIANA FISH HOUSE","2014-04-09 00:00:00",29.6988,-95.3387,SEAFOOD,PASS,1,"TOTAL ESTABLISHMENT",2,0,0,0,0
421686,"KEMPWOOD FOOD MART","2014-04-08 00:00:00",29.8223,-95.526,,PASS,1,STORE,4,0,0,0,0
421689,"GRUB BURGER BAR","2013-07-29 00:00:00",29.7795,-95.5609,"BURGERS, ETC.",PASS,1,"Outside Bar",1,0,0,0,0
421691,CHELAS,"2013-08-14 00:00:00",29.7994,-95.4537,,PASS,1,ESTABLISHMENT,1,0,0,0,0
421692,"MUNDO $ 1.09  AND PLUS","2014-04-01 00:00:00",29.7036,-95.6032,,PASS,1,STORE,4,0,0,0,0
421699,"LAS CAZUELAS","2014-01-06 00:00:00",29.7057,-95.5167,,PASS,3,ESTABLISHMENT,9,0,0,0,0
421700,"FORTUNE ZONE GAMEROOM","2014-04-08 00:00:00",29.6534,-95.5612,,PASS,1,0,4,0,0,0,0
421701,BABY'S,"2013-07-18 00:00:00",29.7038,-95.5744,,PASS,2,0,7,0,0,0,0
421704,"ON THE WAY","2014-04-08 00:00:00",29.6579,-95.3861,,PASS,3,STORE,10,0,0,0,0
421705,"REDI MART","2014-04-12 00:00:00",29.666,-95.3371,,PASS,3,"TOTAL ESTABLISHMENT",11,0,0,1,0
421706,"WENDY'S # 9","2013-12-06 00:00:00",29.628,-95.2318,"BURGERS, ETC.",PASS,1,ESTABLISHMENT,4,0,0,0,0
421709,"APPLEBEES RESTAURANT","2014-04-13 00:00:00",29.735,-95.6486,,FAIL,3,ESTABLISHMENT,9,0,0,0,0
421711,"CULLEN EXXON MOBIL","2014-04-14 00:00:00",29.6549,-95.3549,,PASS,3,ESTABLISHMENT,11,0,0,0,0
421713,"APPLEBEE'S #80023","2014-01-14 00:00:00",29.8019,-95.4483,"LOCAL / CONTINENTAL",PASS,1,ESTABLISHMENT,4,0,0,0,0
421716,"SUBWAY #4112","2014-03-17 00:00:00",29.8101,-95.5449,SANDWICHES,PASS,2,KITCHEN,6,0,0,0,0
421718,"VILLAS IN THE PINES","2014-01-16 00:00:00",29.9369,-95.3137,"LOCAL / CONTINENTAL",PASS,1,0,1,0,0,0,0
421721,"M N M FOOD MART","2014-04-04 00:00:00",29.7302,-95.3462,,PASS,2,"TOTAL ESTABLISHMENT",5,0,0,0,0
421723,"GRIGGS SHELL","2014-01-07 00:00:00",29.6997,-95.3418,,PASS,2,"TOTAL ESTABLISHMENT",6,0,0,0,0
421725,NOKTURNE,"2014-01-17 00:00:00",29.5588,-95.113,,PASS,1,Kitchen,1,0,0,0,0
421732,"TAQUERIA EL LIMON - EL GUERRO","2014-04-15 00:00:00",29.6363,-95.2467,,PASS,1,"7411 PARK PLACE",2,0,0,0,0
421739,"PINE FOREST GARDEN","2013-11-14 00:00:00",29.7058,-95.5439,,PASS,1,ESTABLISHMENT,4,0,0,0,0
421740,"DAYS INN GALLERIA","2013-08-23 00:00:00",29.73,-95.4838,,PASS,3,0,13,0,0,0,0
421742,"RACEWAY 6925","2013-12-16 00:00:00",29.9548,-95.5545,,PASS,1,0,1,0,0,0,0
421743,"SALATEEN   BANQUET HALL","2013-10-04 00:00:00",29.594,-95.1798,OTHER,PASS,1,0,1,0,0,0,0
421744,GELAZZI,"2014-03-31 00:00:00",29.7813,-95.3965,DESSERTS,PASS,1,0,1,0,0,0,0
